               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029679,            0.019913,            0.007295,             0.56526,            0.083333,              0.1938,            0.063165,            0.045051,            0.014453,            0.009409,            0.029097,           0.0020966,           0.0020966
                  37,            0.039707,            0.022848,           0.0053889,           0.0043672,                   1,             0.26201,             0.10551,            0.042863,            0.014424,           0.0093611,            0.027006,           0.0020055,           0.0020055
                  38,            0.034633,            0.022228,           0.0053098,           0.0038111,             0.91667,             0.51395,             0.20652,            0.042842,            0.014122,           0.0092991,            0.024907,           0.0019065,           0.0019065
                  39,            0.057005,            0.026433,            0.010175,           0.0038111,             0.91667,             0.51395,             0.20652,            0.042842,            0.014122,           0.0092991,              0.0228,           0.0017996,           0.0017996
                  40,            0.037282,            0.026016,           0.0058268,           0.0037659,             0.91667,             0.51224,             0.25447,            0.042429,            0.014049,           0.0096099,            0.020685,           0.0016848,           0.0016848
                  41,             0.05237,            0.026482,           0.0066651,           0.0042365,                   1,             0.51478,             0.30703,            0.042974,            0.013818,           0.0098132,            0.018562,           0.0015621,           0.0015621
                  42,            0.031758,            0.023871,           0.0057275,           0.0042365,                   1,             0.51478,             0.30703,            0.042974,            0.013818,           0.0098132,            0.016431,           0.0014314,           0.0014314
                  43,             0.06101,            0.025672,             0.01073,             0.54978,            0.083333,             0.53222,             0.18473,            0.044008,            0.013572,            0.010172,            0.014293,           0.0012928,           0.0012928
                  44,            0.041547,            0.022005,           0.0053832,             0.54978,            0.083333,             0.53222,             0.18473,            0.044008,            0.013572,            0.010172,            0.012146,           0.0011463,           0.0011463
                  45,            0.038334,            0.022474,           0.0070815,             0.56725,            0.083333,               0.549,             0.13986,            0.044036,            0.013653,              0.0103,           0.0099919,           0.0009919,           0.0009919
                  46,            0.035525,            0.023898,           0.0071147,             0.56725,            0.083333,               0.549,             0.13986,            0.044036,            0.013653,              0.0103,           0.0078296,          0.00082956,          0.00082956
                  47,            0.042641,            0.019657,            0.006839,             0.57692,            0.083333,             0.33047,             0.12629,             0.04439,            0.013757,            0.010232,           0.0056593,           0.0006593,           0.0006593
                  48,            0.050248,            0.022492,           0.0097486,             0.57692,            0.083333,             0.33047,             0.12629,             0.04439,            0.013757,            0.010232,           0.0034811,          0.00048112,          0.00048112
                  49,            0.033025,            0.017285,           0.0036254,             0.82248,             0.16667,             0.40812,             0.11137,            0.043834,            0.013948,            0.010224,            0.001295,          0.00029502,          0.00029502
